53.96 on trial 1 with params: {'migration': 0.20068944037810488, 'mutation_GA': 0.06636739299955778, 'mutation_DGA': 0.2332459084948765, 'n_point_crossover_GA': 4, 'n_point_crossover_DGA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.33531683937963835, 'enemies_to_train': 2}
55.68 on trial 0 with params: {'migration': 0.05429240098471409, 'mutation_GA': 0.126070449184906, 'mutation_DGA': 0.26545846887260804, 'n_point_crossover_GA': 3, 'n_point_crossover_DGA': 6, 'sampling_GA': 'sus', 'elitism_rate': 0.36935271560484306, 'enemies_to_train': 2}
53.33 on trial 1 with params: {'mutation_GA': 0.0056841931756899606, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.1507932888294731, 'enemies_to_train': 3}
54.86 on trial 2 with params: {'mutation_GA': 0.038603554898286284, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.03688546496673824, 'enemies_to_train': 2}
50.39 on trial 3 with params: {'mutation_GA': 0.003996749209523053, 'n_point_crossover_GA': 6, 'sampling_GA': 'roulette', 'elitism_rate': 0.39183171120363847, 'enemies_to_train': 3}
54.52 on trial 4 with params: {'mutation_GA': 0.01680776878409839, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.2765842647952996, 'enemies_to_train': 4}
53.09 on trial 5 with params: {'mutation_GA': 0.025394175866573547, 'n_point_crossover_GA': 5, 'sampling_GA': 'sus', 'elitism_rate': 0.1909638447197772, 'enemies_to_train': 2}
60.86 on trial 6 with params: {'mutation_GA': 0.02605095786833068, 'n_point_crossover_GA': 3, 'sampling_GA': 'roulette', 'elitism_rate': 0.3647470389338338, 'enemies_to_train': 4}
54.98 on trial 8 with params: {'mutation_GA': 0.053011246115439954, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.3558032206405399, 'enemies_to_train': 3}
52.02 on trial 9 with params: {'mutation_GA': 0.1412355647817819, 'n_point_crossover_GA': 4, 'sampling_GA': 'roulette', 'elitism_rate': 0.07142143243222208, 'enemies_to_train': 3}
54.93 on trial 11 with params: {'mutation_GA': 0.052786587825049656, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.39033128137745376, 'enemies_to_train': 4}
57.30 on trial 12 with params: {'mutation_GA': 0.08299285886644159, 'n_point_crossover_GA': 2, 'sampling_GA': 'sus', 'elitism_rate': 0.3238082224015185, 'enemies_to_train': 4}
50.21 on trial 13 with params: {'mutation_GA': 0.09204494805455299, 'n_point_crossover_GA': 3, 'sampling_GA': 'sus', 'elitism_rate': 0.3011857559326069, 'enemies_to_train': 4}
