,gen,enemy,best,mean,solution
0,1.0,3.0,54.0,13.44,0
1,1.0,4.0,18.0,3.36,0
2,1.0,6.0,48.0,8.4,0
3,1.0,8.0,71.9200000000001,25.84000000000003,0
4,2.0,3.0,54.0,12.96,0
5,2.0,4.0,36.0,6.284800000000003,0
6,2.0,6.0,48.0,7.92,0
7,2.0,8.0,71.9200000000001,26.34880000000003,0
8,3.0,3.0,54.0,18.48,0
9,3.0,4.0,36.0,6.48,0
10,3.0,6.0,48.0,12.72,0
11,3.0,8.0,94.96000000000005,34.454400000000035,0
12,4.0,3.0,54.0,19.68,0
13,4.0,4.0,36.0,6.24,0
14,4.0,6.0,48.0,9.6,0
15,4.0,8.0,94.96000000000005,38.048000000000044,0
16,5.0,3.0,71.9200000000001,16.663703703703707,0
17,5.0,4.0,54.0,11.333333333333334,0
18,5.0,6.0,48.0,6.666666666666667,0
19,5.0,8.0,94.96000000000005,43.9081481481482,0
20,6.0,3.0,71.9200000000001,22.441481481481485,0
21,6.0,4.0,54.0,10.444444444444445,0
22,6.0,6.0,48.0,8.666666666666666,0
23,6.0,8.0,94.96000000000005,35.93185185185189,0
24,7.0,3.0,71.9200000000001,23.330370370370375,0
25,7.0,4.0,54.0,11.777777777777779,0
26,7.0,6.0,48.0,9.555555555555555,0
27,7.0,8.0,94.96000000000005,41.232592592592646,0
28,8.0,3.0,71.9200000000001,25.552592592592596,0
29,8.0,4.0,54.0,11.555555555555555,0
30,8.0,6.0,48.0,9.333333333333334,0
31,8.0,8.0,94.96000000000005,45.072592592592656,0
32,9.0,3.0,71.9200000000001,26.663703703703707,0
33,9.0,4.0,54.0,10.222222222222221,0
34,9.0,6.0,48.0,13.555555555555555,0
35,9.0,8.0,94.96000000000005,26.38814814814817,0
36,10.0,3.0,71.9200000000001,27.100689655172417,0
37,10.0,4.0,54.0,10.551724137931034,0
38,10.0,6.0,48.0,11.793103448275861,0
39,10.0,8.0,94.96000000000005,41.070344827586254,0
40,11.0,3.0,71.9200000000001,27.307586206896556,0
41,11.0,4.0,54.0,10.551724137931034,0
42,11.0,6.0,48.0,9.931034482758621,0
43,11.0,8.0,94.96000000000005,49.81793103448281,0
44,12.0,3.0,71.9200000000001,21.92827586206897,0
45,12.0,4.0,54.0,11.172413793103448,0
46,12.0,6.0,48.0,16.551724137931036,0
47,12.0,8.0,94.96000000000005,43.103448275862114,0
48,13.0,3.0,71.9200000000001,21.51448275862069,0
49,13.0,4.0,54.0,11.586206896551724,0
50,13.0,6.0,48.0,12.206896551724139,0
51,13.0,8.0,94.96000000000005,47.24413793103454,0
52,14.0,3.0,71.9200000000001,21.100689655172417,0
53,14.0,4.0,54.0,12.413793103448276,0
54,14.0,6.0,48.0,13.241379310344827,0
55,14.0,8.0,94.96000000000005,51.71310344827593,0
56,15.0,3.0,71.9200000000001,21.545806451612904,0
57,15.0,4.0,55.1200000000001,15.94322580645162,0
58,15.0,6.0,60.64000000000009,8.343225806451617,0
59,15.0,8.0,94.96000000000005,42.531612903225856,0
60,16.0,3.0,80.8,20.41290322580645,0
61,16.0,4.0,55.1200000000001,10.874838709677423,0
62,16.0,6.0,60.64000000000009,9.504516129032261,0
63,16.0,8.0,94.96000000000005,55.757419354838774,0
64,17.0,3.0,80.8,21.961290322580645,0
65,17.0,4.0,55.1200000000001,13.390967741935487,0
66,17.0,6.0,60.64000000000009,11.440000000000003,0
67,17.0,8.0,95.20000000000005,55.73161290322587,0
68,18.0,3.0,80.8,25.329032258064515,0
69,18.0,4.0,55.1200000000001,11.455483870967745,0
70,18.0,6.0,60.64000000000009,15.310967741935487,0
71,18.0,8.0,95.20000000000005,52.28903225806457,0
72,19.0,3.0,80.8,25.729032258064514,0
73,19.0,4.0,55.1200000000001,13.778064516129037,0
74,19.0,6.0,60.64000000000009,13.181935483870971,0
75,19.0,8.0,95.20000000000005,51.62838709677426,0
76,20.0,3.0,80.8,23.72941176470588,0
77,20.0,4.0,55.1200000000001,10.974117647058828,0
78,20.0,6.0,60.64000000000009,7.43058823529412,0
79,20.0,8.0,95.20000000000005,48.26352941176476,0
80,21.0,3.0,80.8,23.905882352941177,0
81,21.0,4.0,55.1200000000001,11.327058823529415,0
82,21.0,6.0,60.64000000000009,12.371764705882356,0
83,21.0,8.0,95.20000000000005,42.26352941176475,0
84,22.0,3.0,80.8,25.31764705882353,0
85,22.0,4.0,55.1200000000001,14.369411764705895,0
86,22.0,6.0,60.64000000000009,11.489411764705885,0
87,22.0,8.0,95.20000000000005,34.31764705882357,0
88,23.0,3.0,80.8,23.2,0
89,23.0,4.0,55.1200000000001,16.870588235294125,0
90,23.0,6.0,60.64000000000009,12.724705882352945,0
91,23.0,8.0,95.20000000000005,38.98117647058828,0
92,24.0,3.0,80.8,25.247058823529414,0
93,24.0,4.0,57.520000000000095,16.115294117647068,0
94,24.0,6.0,60.64000000000009,15.018823529411767,0
95,24.0,8.0,95.20000000000005,36.48941176470593,0
96,25.0,3.0,80.8,19.37297297297297,0
97,25.0,4.0,72.16000000000011,11.842162162162165,0
98,25.0,6.0,60.64000000000009,17.04432432432433,0
99,25.0,8.0,95.20000000000005,44.7805405405406,0
100,26.0,3.0,80.8,24.72432432432432,0
101,26.0,4.0,72.16000000000011,18.869189189189196,0
102,26.0,6.0,60.64000000000009,18.66594594594595,0
103,26.0,8.0,95.20000000000005,42.361081081081124,0
104,27.0,3.0,80.8,21.64324324324324,0
105,27.0,4.0,72.16000000000011,16.84756756756757,0
106,27.0,6.0,60.64000000000009,15.120000000000008,0
107,27.0,8.0,95.20000000000005,50.92540540540547,0
108,28.0,3.0,80.8,20.994594594594595,0
109,28.0,4.0,72.16000000000011,22.345945945945953,0
110,28.0,6.0,60.64000000000009,14.774054054054057,0
111,28.0,8.0,95.20000000000005,48.31351351351357,0
112,29.0,3.0,80.8,22.94054054054054,0
113,29.0,4.0,72.16000000000011,18.166486486486487,0
114,29.0,6.0,60.64000000000009,12.828108108108111,0
115,29.0,8.0,95.20000000000005,45.58486486486492,0
116,30.0,3.0,80.8,24.98,0
117,30.0,4.0,78.64000000000013,13.666000000000002,0
118,30.0,6.0,60.64000000000009,13.516000000000002,0
119,30.0,8.0,95.20000000000005,39.718000000000046,0
120,1.0,3.0,48.0,9.12,1
121,1.0,4.0,18.0,4.32,1
122,1.0,6.0,36.0,6.0,1
123,1.0,8.0,79.60000000000012,14.400000000000013,1
124,2.0,3.0,48.0,14.16,1
125,2.0,4.0,18.0,5.28,1
126,2.0,6.0,36.0,7.92,1
127,2.0,8.0,79.60000000000012,28.66560000000004,1
128,3.0,3.0,48.0,18.96,1
129,3.0,4.0,18.0,7.68,1
130,3.0,6.0,36.0,6.24,1
131,3.0,8.0,79.60000000000012,38.297600000000045,1
132,4.0,3.0,48.0,15.36,1
133,4.0,4.0,18.0,9.36,1
134,4.0,6.0,36.0,10.8,1
135,4.0,8.0,80.80000000000013,39.90400000000005,1
136,5.0,3.0,68.0,22.296296296296298,1
137,5.0,4.0,36.0,10.88888888888889,1
138,5.0,6.0,36.0,9.777777777777779,1
139,5.0,8.0,81.76000000000013,37.49925925925931,1
140,6.0,3.0,70.4,21.496296296296297,1
141,6.0,4.0,36.0,9.333333333333334,1
142,6.0,6.0,36.0,8.0,1
143,6.0,8.0,81.76000000000013,34.702222222222275,1
144,7.0,3.0,70.4,18.385185185185183,1
145,7.0,4.0,36.0,8.08592592592593,1
146,7.0,6.0,36.0,8.666666666666666,1
147,7.0,8.0,81.76000000000013,33.80740740740745,1
148,8.0,3.0,70.4,22.607407407407408,1
149,8.0,4.0,36.0,10.88888888888889,1
150,8.0,6.0,36.0,9.555555555555555,1
151,8.0,8.0,81.76000000000013,40.12740740740747,1
152,9.0,3.0,70.4,23.94074074074074,1
153,9.0,4.0,36.0,8.222222222222221,1
154,9.0,6.0,36.0,8.0,1
155,9.0,8.0,81.76000000000013,43.06666666666673,1
156,10.0,3.0,72.16000000000011,22.557241379310348,1
157,10.0,4.0,36.0,12.413793103448276,1
158,10.0,6.0,36.0,8.482758620689655,1
159,10.0,8.0,81.76000000000013,38.27034482758626,1
160,11.0,3.0,72.16000000000011,22.35034482758621,1
161,11.0,4.0,42.0,9.724137931034482,1
162,11.0,6.0,36.0,10.758620689655173,1
163,11.0,8.0,84.16000000000014,36.67862068965522,1
164,12.0,3.0,72.16000000000011,18.41931034482759,1
165,12.0,4.0,42.0,10.137931034482758,1
166,12.0,6.0,36.0,12.206896551724139,1
167,12.0,8.0,84.16000000000014,39.68827586206902,1
168,13.0,3.0,72.16000000000011,22.102068965517244,1
169,13.0,4.0,42.0,7.448275862068965,1
170,13.0,6.0,54.0,10.758620689655173,1
171,13.0,8.0,84.16000000000014,44.65931034482764,1
172,14.0,3.0,72.16000000000011,14.074482758620693,1
173,14.0,4.0,42.0,9.517241379310345,1
174,14.0,6.0,54.0,10.96551724137931,1
175,14.0,8.0,85.12000000000013,29.16965517241382,1
176,15.0,3.0,72.16000000000011,17.230967741935487,1
177,15.0,4.0,42.0,10.838709677419354,1
178,15.0,6.0,54.0,7.741935483870968,1
179,15.0,8.0,85.12000000000013,41.33419354838714,1
180,16.0,3.0,72.16000000000011,21.295483870967743,1
181,16.0,4.0,74.80000000000011,13.922580645161299,1
182,16.0,6.0,54.0,11.03225806451613,1
183,16.0,8.0,85.12000000000013,43.69548387096779,1
184,17.0,3.0,72.16000000000011,25.218064516129036,1
185,17.0,4.0,74.80000000000011,11.316129032258068,1
186,17.0,6.0,54.0,12.387096774193548,1
187,17.0,8.0,85.12000000000013,40.95483870967747,1
188,18.0,3.0,72.16000000000011,15.798709677419358,1
189,18.0,4.0,74.80000000000011,10.541935483870972,1
190,18.0,6.0,54.0,12.655483870967746,1
191,18.0,8.0,85.12000000000013,51.86064516129039,1
192,19.0,3.0,72.16000000000011,20.521290322580647,1
193,19.0,4.0,74.80000000000011,10.92903225806452,1
194,19.0,6.0,54.0,11.225806451612904,1
195,19.0,8.0,85.12000000000013,50.61935483870975,1
196,20.0,3.0,72.16000000000011,20.298823529411766,1
197,20.0,4.0,82.48000000000013,15.131764705882357,1
198,20.0,6.0,54.0,10.235294117647058,1
199,20.0,8.0,85.12000000000013,53.414117647058895,1
200,21.0,3.0,74.4,24.599999999999998,1
201,21.0,4.0,82.48000000000013,16.78117647058824,1
202,21.0,6.0,54.0,9.705882352941176,1
203,21.0,8.0,90.88000000000008,52.28470588235301,1
204,22.0,3.0,74.4,26.36470588235294,1
205,22.0,4.0,82.48000000000013,14.955294117647062,1
206,22.0,6.0,54.0,9.705882352941176,1
207,22.0,8.0,90.88000000000008,53.164705882353026,1
208,23.0,3.0,74.4,29.36470588235294,1
209,23.0,4.0,82.48000000000013,13.367058823529415,1
210,23.0,6.0,54.0,15.0,1
211,23.0,8.0,90.88000000000008,51.99529411764713,1
212,24.0,3.0,74.4,29.71764705882353,1
213,24.0,4.0,82.48000000000013,15.66117647058824,1
214,24.0,6.0,54.0,10.235294117647058,1
215,24.0,8.0,90.88000000000008,57.39764705882361,1
216,25.0,3.0,74.4,30.864864864864863,1
217,25.0,4.0,82.48000000000013,13.580540540540545,1
218,25.0,6.0,70.2400000000001,10.607567567567573,1
219,25.0,8.0,90.88000000000008,40.89297297297302,1
220,26.0,3.0,74.4,29.64324324324324,1
221,26.0,4.0,82.48000000000013,13.25621621621622,1
222,26.0,6.0,70.2400000000001,12.438918918918922,1
223,26.0,8.0,90.88000000000008,49.52864864864871,1
224,27.0,3.0,74.4,27.308108108108108,1
225,27.0,4.0,82.48000000000013,14.492972972972979,1
226,27.0,6.0,70.2400000000001,10.330810810810814,1
